[Machine NO : PA1848,Machine ID: LGR252214]
<Software Version : 1.00>

2026/04/04 16:25:28	LUTIME	725400,0,725400,59600
2026/04/04 16:25:28	LMAXUP	1228,1160
2026/04/04 16:25:28	LSTATE	0,0,0,0,2720,3410,0,0,2340
2026/04/04 16:25:28	LIDL	30,100,OK,1228,105,0,0,1450,400
2026/04/04 16:24:37	LSTATE	0,0,0,0,2700,3410,0,0,2300
2026/04/04 16:24:37	IDLEP	1740,1225,19,1451,8,0,0,400,16344,0
2026/04/04 16:23:36	LSTATE	0,0,0,0,2700,3410,0,0,2300
2026/04/04 16:23:36	IDLEP	1680,1224,24,1450,9,0,0,400,16344,0
2026/04/04 16:22:36	LSTATE	0,0,0,0,2710,3410,0,0,2340
2026/04/04 16:22:36	IDLEP	1620,1225,20,1450,8,0,0,400,16344,0
2026/04/04 16:21:35	LSTATE	0,0,0,0,2710,3410,0,0,2340
2026/04/04 16:21:35	IDLEP	1560,1223,25,1449,9,0,0,400,16344,0
2026/04/04 16:20:35	LSTATE	0,0,0,0,2720,3410,0,0,2340
2026/04/04 16:20:35	IDLEP	1500,1223,16,1450,10,0,0,400,16344,0
2026/04/04 16:19:35	LSTATE	0,0,0,0,2710,3410,0,0,2300
2026/04/04 16:19:35	IDLEP	1440,1224,22,1450,9,0,0,400,16343,0
2026/04/04 16:18:34	LSTATE	0,0,0,0,2710,3410,0,0,2340
2026/04/04 16:18:34	IDLEP	1380,1224,22,1451,10,0,0,400,16344,0
2026/04/04 16:17:34	LSTATE	0,0,0,0,2690,3410,0,0,2340
2026/04/04 16:17:34	IDLEP	1320,1224,24,1451,10,0,0,400,16343,0
2026/04/04 16:16:34	LSTATE	0,0,0,0,2700,3410,0,0,2340
2026/04/04 16:16:34	IDLEP	1260,1226,19,1450,9,0,0,400,16344,0
2026/04/04 16:15:33	LSTATE	0,0,0,0,2700,3410,0,0,2340
2026/04/04 16:15:33	IDLEP	1200,1224,17,1450,9,0,0,400,16344,0
2026/04/04 16:14:33	LSTATE	0,0,0,0,2710,3410,0,0,2300
2026/04/04 16:14:33	IDLEP	1140,1225,20,1450,9,0,0,400,16343,0
